platform,imgyear,julday,reflfile,tcfile,cloudfile
TM,2001,150,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_150_archv.bsq,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_150_tc.bsq,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_150_cloudmask.bsq
TM,2001,182,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_182_archv.bsq,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_182_tc.bsq,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_182_cloudmask.bsq
TM,2001,214,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_214_archv.bsq,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_214_tc.bsq,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_214_cloudmask.bsq
TM,2001,246,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_246_archv.bsq,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_246_tc.bsq,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_246_cloudmask.bsq
TM,2001,310,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_310_archv.bsq,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_310_tc.bsq,M:\Bering_Glacier\063018\images\2001\LE7063018_2001_310_cloudmask.bsq
TM,2002,73,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_073_archv.bsq,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_073_tc.bsq,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_073_cloudmask.bsq
TM,2002,105,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_105_archv.bsq,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_105_tc.bsq,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_105_cloudmask.bsq
TM,2002,121,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_121_archv.bsq,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_121_tc.bsq,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_121_cloudmask.bsq
TM,2002,217,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_217_archv.bsq,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_217_tc.bsq,M:\Bering_Glacier\063018\images\2002\LE7063018_2002_217_cloudmask.bsq
TM,2003,60,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_060_archv.bsq,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_060_tc.bsq,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_060_cloudmask.bsq
TM,2003,92,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_092_archv.bsq,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_092_tc.bsq,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_092_cloudmask.bsq
TM,2003,140,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_140_archv.bsq,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_140_tc.bsq,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_140_cloudmask.bsq
TM,2003,220,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_220_archv.bsq,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_220_tc.bsq,M:\Bering_Glacier\063018\images\2003\LE7063018_2003_220_cloudmask.bsq
