platform,imgyear,julday,reflfile,tcfile,cloudfile
TM,2000,237,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LE7046031_2000_237_20120326_201937_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LE7046031_2000_237_20120327_121312_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LE7046031_2000_237_20120127_085305_cloudmask.bsq
TM,2000,197,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LT5046031_2000_197_20120326_202526_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LT5046031_2000_197_20120327_121602_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LT5046031_2000_197_20120127_084833_cloudmask.bsq
TM,2000,229,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LT5046031_2000_229_20120326_203230_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LT5046031_2000_229_20120327_121848_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2000\LT5046031_2000_229_20120127_085158_cloudmask.bsq
TM,2001,207,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LE7046031_2001_207_20120326_203851_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LE7046031_2001_207_20120327_122137_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LE7046031_2001_207_20120127_085733_cloudmask.bsq
TM,2001,239,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LE7046031_2001_239_20120326_204551_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LE7046031_2001_239_20120327_122421_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LE7046031_2001_239_20120127_090107_cloudmask.bsq
TM,2001,183,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_183_20120326_205216_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_183_20120327_122704_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_183_20120127_085441_cloudmask.bsq
TM,2001,199,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_199_20120326_205824_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_199_20120327_122953_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_199_20120127_085548_cloudmask.bsq
TM,2001,215,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_215_20120326_210422_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_215_20120327_123243_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_215_20120127_085840_cloudmask.bsq
TM,2001,231,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_231_20120326_211030_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_231_20120327_123533_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2001\LT5046031_2001_231_20120127_090000_cloudmask.bsq
TM,2002,186,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_186_20120326_211657_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_186_20120327_123822_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_186_20120127_090217_cloudmask.bsq
TM,2002,202,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_202_20120326_212323_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_202_20120327_124105_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_202_20120127_090611_cloudmask.bsq
TM,2002,218,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_218_20120328_143215_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_218_20120328_144635_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_218_20120328_143039_cloudmask.bsq
TM,2002,234,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_234_20120326_213626_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_234_20120327_124632_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LT5046031_2002_234_20120127_090918_cloudmask.bsq
TM,2002,194,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LE7046031_2002_194_20120326_214252_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LE7046031_2002_194_20120327_124921_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2002\LE7046031_2002_194_20120127_090359_cloudmask.bsq
TM,2003,197,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LE7046031_2003_197_20120326_214949_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LE7046031_2003_197_20120327_125211_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LE7046031_2003_197_20120127_091201_cloudmask.bsq
TM,2003,229,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LE7046031_2003_229_20120326_215650_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LE7046031_2003_229_20120327_125458_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LE7046031_2003_229_20120127_091528_cloudmask.bsq
TM,2003,189,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LT5046031_2003_189_20120326_220340_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LT5046031_2003_189_20120327_125745_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LT5046031_2003_189_20120127_091045_cloudmask.bsq
TM,2003,221,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LT5046031_2003_221_20120326_221000_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LT5046031_2003_221_20120327_130034_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LT5046031_2003_221_20120127_091348_cloudmask.bsq
TM,2003,237,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LT5046031_2003_237_20120326_221626_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LT5046031_2003_237_20120327_130323_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2003\LT5046031_2003_237_20120127_091711_cloudmask.bsq
TM,2004,184,T:\Groups\Spacers-Annex2\Scenes\046031\images\2004\LE7046031_2004_184_20120326_222248_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2004\LE7046031_2004_184_20120327_130608_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\2004\LE7046031_2004_184_20120127_091818_cloudmask.bsq
